,round_price,Manhattan,Midtown,Chelsea,Flatiron District,Midtown East,Murray Hill,Hell's Kitchen,Kips Bay,Times Square/Theatre District,Gramercy Park,Union Square,Meatpacking District,West Village,Greenwich Village,East Village,Alphabet City,Noho,Upper East Side,Upper West Side,Soho,Hudson Square,Nolita,Lower East Side,Roosevelt Island,Long Island City,Queens,Chinatown,Tribeca,Little Italy,Brooklyn,Greenpoint,Williamsburg,Astoria,Civic Center,Battery Park City,Financial District,South Street Seaport,East Harlem,Harlem,Downtown Brooklyn,Sunnyside,Brooklyn Heights,Morningside Heights,Bedford-Stuyvesant,Woodside,Cobble Hill,Bushwick,Ridgewood,Clinton Hill,Ditmars / Steinway,Carroll Gardens,Maspeth,Jackson Heights,The Bronx,Port Morris,Hamilton Heights,Mott Haven,Park Slope,Crown Heights,Concourse Village,Greenwood Heights,Washington Heights,Flatbush,Highbridge,Concourse,East Flatbush,Kensington,Glendale,Sunset Park,Forest Hills,University Heights,Kew Garden Hills,Inwood,Staten Island,Castle Hill ,Bay Ridge,Midwood,Flushing,Van Nest,Utopia,Flatlands,Grymes Hill,Marble Hill,Sheepshead Bay,Gravesend,Baychester,Riverdale,Bayside,Jamaica,The Rockaways
0,100,0.32866479925303455,0.18842105263157893,0.2236503856041131,0.05555555555555555,0.12133891213389121,0.075,0.23759791122715404,0.22560975609756098,0.35135135135135137,0.2857142857142857,0.2857142857142857,,0.08191126279863481,0.16216216216216217,0.2620817843866171,0.34146341463414637,0.05555555555555555,0.25274725274725274,0.31981279251170047,0.13513513513513514,0.1111111111111111,0.19230769230769232,0.3091684434968017,0.7384615384615385,1.0,0.72,0.29545454545454547,0.08108108108108109,,0.6060606060606061,1.0,0.45,0.6190476190476191,0.42857142857142855,0.3333333333333333,0.08917197452229299,0.25,0.51875,0.5863117870722433,1.0,1.0,,0.5277777777777778,0.7058823529411765,,,0.9230769230769231,1.0,0.5,0.6666666666666666,,,1.0,0.7777777777777778,1.0,0.7319148936170212,1.0,,0.6666666666666666,,1.0,0.7447447447447447,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7619047619047619,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,0.5,,,,1.0,1.0,1.0,1.0
1,200,0.4316393223956249,0.46210526315789474,0.41645244215938304,0.3888888888888889,0.49372384937238495,0.6,0.4960835509138381,0.5060975609756098,0.32432432432432434,0.34285714285714286,0.5714285714285714,0.5,0.45733788395904434,0.46846846846846846,0.49256505576208176,0.45365853658536587,0.2777777777777778,0.5588697017268446,0.45553822152886114,0.43243243243243246,0.4444444444444444,0.5,0.47547974413646055,0.2153846153846154,,0.2,0.4696969696969697,0.35135135135135137,,0.29292929292929293,,0.3,0.23809523809523808,0.5714285714285714,0.4166666666666667,0.33121019108280253,,0.378125,0.32623574144486694,,,1.0,0.3888888888888889,0.23529411764705882,,1.0,0.07692307692307693,,0.5,0.3333333333333333,1.0,1.0,,0.2222222222222222,,0.1829787234042553,,0.5,0.3333333333333333,1.0,,0.2132132132132132,,0.5,,,,,,,,1.0,0.19047619047619047,,,,,,1.0,,,,,1.0,1.0,1.0,,,,
2,300,0.1524609843937575,0.19789473684210526,0.2519280205655527,0.3055555555555556,0.2175732217573222,0.1875,0.19321148825065274,0.15853658536585366,0.13513513513513514,0.22857142857142856,,0.5,0.3242320819112628,0.23423423423423423,0.14684014869888476,0.13170731707317074,0.16666666666666666,0.13343799058084774,0.13416536661466458,0.16216216216216217,0.3333333333333333,0.15384615384615385,0.13432835820895522,0.03076923076923077,,0.08,0.17424242424242425,0.32432432432432434,0.75,0.04040404040404041,,0.1,0.09523809523809523,,0.25,0.3885350318471338,0.5,0.071875,0.061596958174904945,,,,0.06944444444444445,0.058823529411764705,,,,,,,,,,,,0.04680851063829787,,0.5,,,,0.02702702702702703,,,,,,,,,,,0.047619047619047616,,1.0,,,,,,,,0.5,,,,,,,
3,400,0.041349873282646395,0.07263157894736842,0.061696658097686374,0.08333333333333333,0.06694560669456066,0.0625,0.03655352480417755,0.04878048780487805,0.08108108108108109,0.05714285714285714,0.14285714285714285,,0.06484641638225255,0.06306306306306306,0.05204460966542751,0.04878048780487805,0.2222222222222222,0.023547880690737835,0.0436817472698908,0.10810810810810811,,0.038461538461538464,0.053304904051172705,,,,0.022727272727272728,0.16216216216216217,0.25,0.04040404040404041,,0.1,0.047619047619047616,,,0.06687898089171974,,0.015625,0.011406844106463879,,,,,,,,,,,,,,,,,0.00425531914893617,,,,,,0.006006006006006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,500,0.020274776577297586,0.03894736842105263,0.02313624678663239,0.06944444444444445,0.029288702928870293,0.05,0.018276762402088774,0.024390243902439025,0.02702702702702703,,,,0.017064846416382253,0.036036036036036036,0.027881040892193308,0.014634146341463415,0.16666666666666666,0.009419152276295133,0.0171606864274571,0.06756756756756757,0.1111111111111111,0.11538461538461539,0.008528784648187633,,,,0.007575757575757576,0.02702702702702703,,,,0.05,,,,0.07961783439490445,0.25,0.00625,0.006844106463878327,,,,,,1.0,,,,,,,,,,,0.01702127659574468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600,0.006669334400426837,0.00631578947368421,0.010282776349614395,0.013888888888888888,0.016736401673640166,,0.005221932114882507,0.012195121951219513,0.02702702702702703,,,,0.013651877133105802,0.009009009009009009,0.0055762081784386614,0.00975609756097561,0.1111111111111111,0.004709576138147566,0.0062402496099844,,,,0.0042643923240938165,,,,0.015151515151515152,,,0.010101010101010102,,,,,,0.03184713375796178,,,0.0022813688212927757,,,,0.013888888888888888,,,,,,,,,,,,,0.00425531914893617,,,,,,0.006006006006006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,700,0.005202080832332933,0.009473684210526316,0.002570694087403599,0.027777777777777776,0.02092050209205021,,0.0026109660574412533,0.012195121951219513,0.02702702702702703,,,,0.0034129692832764505,,0.0037174721189591076,,,0.004709576138147566,0.0015600624024961,0.02702702702702703,,,0.0021321961620469083,,,,0.007575757575757576,0.02702702702702703,,,,,,,,0.009554140127388535,,0.00625,0.001520912547528517,,,,,,,,,,,,,,,,,0.00425531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,800,0.0034680538882219556,0.010526315789473684,0.005141388174807198,0.013888888888888888,0.016736401673640166,0.025,,0.012195121951219513,,,,,,,0.0055762081784386614,,,0.004709576138147566,0.0031201248049922,0.013513513513513514,,,0.0042643923240938165,,,,,,,0.010101010101010102,,,,,,,,0.003125,0.001520912547528517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,900,0.0026677337601707348,0.004210526315789474,0.002570694087403599,0.013888888888888888,0.008368200836820083,,0.0026109660574412533,,,,,,,0.018018018018018018,,,,0.0031397174254317113,0.0031201248049922,0.013513513513513514,,,,,,,,,,,,,,,,,,,0.0007604562737642585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.003201280512204882,0.002105263157894737,0.002570694087403599,,,,0.0026109660574412533,,,0.02857142857142857,,,0.010238907849829351,,0.0018587360594795538,,,,0.0062402496099844,0.013513513513513514,,,0.0042643923240938165,,,,0.007575757575757576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003003003003003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1100,0.00040016006402561027,0.002105263157894737,,,,,,,,0.02857142857142857,,,0.0034129692832764505,0.009009009009009009,,,,,,,,,0.0021321961620469083,,,,,,,,,,,,,,,,0.0007604562737642585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1200,0.000533546752034147,0.0010526315789473684,,0.013888888888888888,0.0041841004184100415,,,,,,,,0.0034129692832764505,,,,,0.0031397174254317113,0.0015600624024961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1300,0.00013338668800853674,,,,,,,,,,,,0.0034129692832764505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1400,0.0002667733760170735,,,,0.0041841004184100415,,,,,,,,,,,,,,,0.013513513513513514,,,,0.015384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1500,0.000533546752034147,,,,,,,,,,,,0.006825938566552901,,0.0018587360594795538,,,,,,,,,,,,,,,,,,,,,,,,0.0007604562737642585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1600,0.00013338668800853674,0.0010526315789473684,,,,,,,,,,,0.0034129692832764505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1800,0.00013338668800853674,,,,,,,,,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1900,0.00013338668800853674,,,,,,,,,,,,0.0034129692832764505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2000,0.0002667733760170735,0.003157894736842105,,,,,0.0026109660574412533,,0.02702702702702703,,,,0.0034129692832764505,,,,,,0.0078003120124804995,,,,0.0021321961620469083,,,,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2300,0.00013338668800853674,,,,,,,,,,,,,,,,,0.0015698587127158557,,0.013513513513513514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2400,0.00013338668800853674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2500,0.0002667733760170735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00425531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3000,0.0002667733760170735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3800,0.00013338668800853674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3900,0.00013338668800853674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4000,0.00013338668800853674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5000,0.00013338668800853674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00425531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6000,0.00013338668800853674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8500,0.00013338668800853674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10000,0.0002667733760170735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
