,0
0,24hour checkin
1,Air conditioning
2,Bathtub
3,Bed linens
4,Breakfast
5,Buzzerwireless intercom
6,Cable TV
7,Carbon monoxide detector
8,Coffee maker
9,Cooking basics
10,Dishes and silverware
11,Dishwasher
12,Doorman
13,Dryer
14,Elevator
15,Essentials
16,Extra pillows and blankets
17,Familykid friendly
18,Fire extinguisher
19,First aid kit
20,Free street parking
21,Gym
22,Hair dryer
23,Hangers
24,Heating
25,Host greets you
26,Hot water
27,Internet
28,Iron
29,Kitchen
30,Laptop friendly workspace
31,Lock on bedroom door
32,Lockbox
33,Long term stays allowed
34,Luggage dropoff allowed
35,Microwave
36,No stairs or steps to enter
37,Other
38,Oven
39,Paid parking off premises
40,Pets allowed
41,Private entrance
42,Private living room
43,Refrigerator
44,Safety card
45,Self checkin
46,Shampoo
47,Smoke detector
48,Stove
49,TV
50,Washer
51,Welllit path to entrance
52,Wifi
