,neighbourhood,count,neigh_cat
19,Manhattan,7497,Manhattan
22,Midtown,950,Midtown
5,Chelsea,389,Chelsea
7,Flatiron District,72,Flatiron District
23,Midtown East,239,Midtown East
25,Murray Hill,80,Murray Hill
14,Hell's Kitchen,383,Hell's Kitchen
18,Kips Bay,164,Kips Bay
32,Times Square/Theatre District,37,Times Square/Theatre District
10,Gramercy Park,35,Gramercy Park
33,Union Square,7,Union Square
21,Meatpacking District,4,Meatpacking District
39,West Village,293,West Village
12,Greenwich Village,111,Greenwich Village
6,East Village,538,East Village
0,Alphabet City,205,Alphabet City
26,Noho,18,Noho
35,Upper East Side,637,Upper East Side
36,Upper West Side,641,Upper West Side
29,Soho,74,Soho
34,University Heights,1,University Heights
17,Kew Garden Hills,1,Kew Garden Hills
15,Inwood,63,Inwood
30,Staten Island,1,Staten Island
4,Castle Hill ,1,Castle Hill 
1,Bay Ridge,1,Bay Ridge
24,Midwood,1,Midwood
9,Flushing,2,Flushing
38,Van Nest,1,Van Nest
37,Utopia,1,Utopia
8,Flatlands,1,Flatlands
13,Grymes Hill,1,Grymes Hill
20,Marble Hill,2,Marble Hill
28,Sheepshead Bay,1,Sheepshead Bay
11,Gravesend,1,Gravesend
2,Baychester,1,Baychester
27,Riverdale,1,Riverdale
3,Bayside,1,Bayside
16,Jamaica,1,Jamaica
31,The Rockaways,2,The Rockaways
