,round_amenities,Manhattan,Midtown,Chelsea,Flatiron District,Midtown East,Murray Hill,Hell's Kitchen,Kips Bay,Times Square/Theatre District,Gramercy Park,Union Square,Meatpacking District,West Village,Greenwich Village,East Village,Alphabet City,Noho,Upper East Side,Upper West Side,Soho,Hudson Square,Nolita,Lower East Side,Roosevelt Island,Long Island City,Queens,Chinatown,Tribeca,Little Italy,Brooklyn,Greenpoint,Williamsburg,Astoria,Civic Center,Battery Park City,Financial District,South Street Seaport,East Harlem,Harlem,Downtown Brooklyn,Sunnyside,Brooklyn Heights,Morningside Heights,Bedford-Stuyvesant,Woodside,Cobble Hill,Bushwick,Ridgewood,Clinton Hill,Ditmars / Steinway,Carroll Gardens,Maspeth,Jackson Heights,The Bronx,Port Morris,Hamilton Heights,Mott Haven,Park Slope,Crown Heights,Concourse Village,Greenwood Heights,Washington Heights,Flatbush,Highbridge,Concourse,East Flatbush,Kensington,Glendale,Sunset Park,Forest Hills,University Heights,Kew Garden Hills,Inwood,Staten Island,Castle Hill ,Bay Ridge,Midwood,Flushing,Van Nest,Utopia,Flatlands,Grymes Hill,Marble Hill,Sheepshead Bay,Gravesend,Baychester,Riverdale,Bayside,Jamaica,The Rockaways
0,5,0.010404161664665866,0.005263157894736842,0.007712082262210797,0.013888888888888888,0.0041841004184100415,,0.007832898172323759,0.012195121951219513,,,,,0.0034129692832764505,,0.00929368029739777,0.004878048780487805,,0.006279434850863423,0.0046801872074883,0.013513513513513514,,,0.017057569296375266,,,0.02,0.007575757575757576,0.02702702702702703,,0.010101010101010102,,,,,,,,,0.006844106463878327,,,,,,,,,,,,,,,,,,,,,,,0.003003003003003003,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,10,0.08029878618113913,0.05368421052631579,0.07197943444730077,0.041666666666666664,0.06276150627615062,0.0625,0.06266318537859007,0.07317073170731707,0.05405405405405406,0.02857142857142857,,,0.11262798634812286,0.06306306306306306,0.10966542750929369,0.11707317073170732,0.1111111111111111,0.07692307692307693,0.07956318252730109,0.10810810810810811,0.1111111111111111,0.15384615384615385,0.1044776119402985,0.09230769230769231,,0.08,0.12878787878787878,0.05405405405405406,,0.0707070707070707,,0.1,0.09523809523809523,,,0.01592356687898089,,0.0625,0.07072243346007605,,,,0.09722222222222222,0.17647058823529413,,1.0,0.15384615384615385,0.14285714285714285,,,,,,,,0.08085106382978724,0.5,,0.3333333333333333,,,0.06306306306306306,,,,,,,1.0,,,,0.06349206349206349,,,,,,1.0,,,,,,,,,,,
2,15,0.22275576897425636,0.19157894736842104,0.2467866323907455,0.1111111111111111,0.19665271966527198,0.15,0.17493472584856398,0.27439024390243905,0.16216216216216217,0.2,0.14285714285714285,,0.22525597269624573,0.34234234234234234,0.26579925650557623,0.23414634146341465,0.1111111111111111,0.23390894819466249,0.24024960998439937,0.2972972972972973,0.2222222222222222,0.23076923076923078,0.27505330490405117,0.16923076923076924,1.0,0.18,0.1893939393939394,0.21621621621621623,0.5,0.20202020202020202,0.5,0.1,0.09523809523809523,,,0.0732484076433121,,0.209375,0.19011406844106463,,,,0.1527777777777778,0.23529411764705882,,,0.23076923076923078,,0.5,,,,0.5,0.1111111111111111,,0.19574468085106383,0.5,,0.3333333333333333,,0.5,0.25825825825825827,0.25,,,,,,,1.0,,,0.1746031746031746,,1.0,,,,,,,,,,,,,,1.0,
3,20,0.2222222222222222,0.22526315789473683,0.2185089974293059,0.2916666666666667,0.2175732217573222,0.2125,0.22193211488250653,0.2073170731707317,0.13513513513513514,0.22857142857142856,0.2857142857142857,0.5,0.22525597269624573,0.1981981981981982,0.23048327137546468,0.25365853658536586,0.16666666666666666,0.23233908948194662,0.19656786271450857,0.21621621621621623,0.1111111111111111,0.15384615384615385,0.2260127931769723,0.3076923076923077,,0.32,0.29545454545454547,0.13513513513513514,0.25,0.2222222222222222,,0.35,0.38095238095238093,0.5714285714285714,0.5833333333333334,0.14331210191082802,0.25,0.2,0.22357414448669202,,,,0.3611111111111111,0.11764705882352941,1.0,,0.3076923076923077,0.2857142857142857,,0.3333333333333333,,,,0.3333333333333333,,0.20851063829787234,,,,,0.5,0.16216216216216217,0.25,,,,,,,,1.0,,0.15873015873015872,,,,,0.5,,,1.0,,,,,,1.0,,,0.5
4,25,0.16579965319461118,0.18526315789473685,0.15424164524421594,0.2361111111111111,0.200836820083682,0.2375,0.206266318537859,0.18292682926829268,0.24324324324324326,0.17142857142857143,0.14285714285714285,0.25,0.18088737201365188,0.15315315315315314,0.13568773234200743,0.16585365853658537,0.2777777777777778,0.18681318681318682,0.17784711388455537,0.17567567567567569,0.3333333333333333,0.23076923076923078,0.15778251599147122,0.13846153846153847,,0.08,0.14393939393939395,0.08108108108108109,,0.1111111111111111,0.5,0.2,0.14285714285714285,0.2857142857142857,,0.10191082802547771,,0.1875,0.16273764258555132,1.0,0.5,1.0,0.1388888888888889,0.11764705882352941,,,0.15384615384615385,0.2857142857142857,0.25,0.3333333333333333,,,,0.2222222222222222,,0.11063829787234042,,0.5,,,,0.18618618618618618,0.25,0.5,,,1.0,1.0,,,,,0.14285714285714285,,,,,0.5,,,,1.0,0.5,,,,,,,
5,30,0.11898092570361478,0.1336842105263158,0.14138817480719795,0.18055555555555555,0.100418410041841,0.05,0.17493472584856398,0.07317073170731707,0.08108108108108109,0.17142857142857143,0.2857142857142857,0.25,0.11945392491467577,0.12612612612612611,0.10408921933085502,0.11707317073170732,0.05555555555555555,0.10989010989010989,0.12636505460218408,0.0945945945945946,0.2222222222222222,0.07692307692307693,0.09594882729211088,0.07692307692307693,,0.08,0.09090909090909091,0.08108108108108109,,0.13131313131313133,,0.1,0.09523809523809523,0.14285714285714285,0.16666666666666666,0.08917197452229299,,0.121875,0.1376425855513308,,,,0.09722222222222222,0.11764705882352941,,,,,0.25,0.3333333333333333,,,0.5,,,0.17446808510638298,,,0.3333333333333333,,,0.15015015015015015,0.25,,,,,,,,,1.0,0.19047619047619047,,,,,,,,,,0.5,,,,,,,
6,35,0.08763505402160865,0.10947368421052632,0.08483290488431877,0.08333333333333333,0.1297071129707113,0.15,0.08616187989556136,0.11585365853658537,0.21621621621621623,0.05714285714285714,0.14285714285714285,,0.07167235494880546,0.04504504504504504,0.0687732342007435,0.04878048780487805,0.05555555555555555,0.0847723704866562,0.09516380655226209,0.05405405405405406,,0.038461538461538464,0.04904051172707889,0.1076923076923077,,0.06,0.10606060606060606,0.2972972972972973,,0.15151515151515152,,0.05,0.09523809523809523,,0.08333333333333333,0.49044585987261147,,0.109375,0.09505703422053231,,0.5,,0.06944444444444445,0.058823529411764705,,,0.15384615384615385,0.2857142857142857,,,1.0,1.0,,0.2222222222222222,1.0,0.12340425531914893,,0.5,,1.0,,0.07507507507507508,,,,,,,,,,,0.07936507936507936,,,1.0,,,,,,,,,,1.0,,1.0,,
7,40,0.0457516339869281,0.04105263157894737,0.04884318766066838,,0.02092050209205021,0.0375,0.033942558746736295,0.036585365853658534,0.08108108108108109,0.05714285714285714,,,0.03754266211604096,0.06306306306306306,0.04460966542750929,0.03414634146341464,0.16666666666666666,0.03296703296703297,0.0436817472698908,0.02702702702702703,,0.11538461538461539,0.02771855010660981,0.03076923076923077,,0.12,0.022727272727272728,0.02702702702702703,,0.030303030303030304,,0.1,0.09523809523809523,,0.08333333333333333,0.03184713375796178,0.25,0.065625,0.05627376425855513,,,,0.041666666666666664,,,,,,,,,,,,,0.05106382978723404,,,,,,0.03303303303303303,,,,,,,,,,,0.09523809523809523,1.0,,,,,,1.0,,,,,,,,,,
8,45,0.022008803521408563,0.02631578947368421,0.015424164524421594,0.013888888888888888,0.02092050209205021,0.05,0.015665796344647518,0.006097560975609756,,,,,0.013651877133105802,,0.01858736059479554,0.004878048780487805,0.05555555555555555,0.015698587127158554,0.0187207488299532,,,,0.019189765458422176,0.03076923076923077,,0.02,0.007575757575757576,,0.25,0.020202020202020204,,,,,0.08333333333333333,0.022292993630573247,0.25,0.03125,0.029657794676806085,,,,0.013888888888888888,0.11764705882352941,,,,,,,,,,0.1111111111111111,,0.02553191489361702,,,,,,0.024024024024024024,,0.5,1.0,,,,,,,,0.015873015873015872,,,,1.0,,,,,,,1.0,1.0,,,,,0.5
9,50,0.013071895424836602,0.017894736842105262,0.005141388174807198,0.013888888888888888,0.02510460251046025,0.0375,0.013054830287206266,0.012195121951219513,0.02702702702702703,0.05714285714285714,,,0.006825938566552901,,0.0055762081784386614,0.004878048780487805,,0.01098901098901099,0.0093603744149766,,,,0.01279317697228145,0.015384615384615385,,0.02,0.007575757575757576,0.02702702702702703,,0.020202020202020204,,,,,,0.025477707006369428,0.25,0.009375,0.00988593155893536,,,,0.027777777777777776,,,,,,,,,,,,,0.02127659574468085,,,,,,0.018018018018018018,,,,,,,,,,,0.015873015873015872,,,,,,,,,,,,,,,,,
