,round_rating,Manhattan,Midtown,Chelsea,Flatiron District,Midtown East,Murray Hill,Hell's Kitchen,Kips Bay,Times Square/Theatre District,Gramercy Park,Union Square,Meatpacking District,West Village,Greenwich Village,East Village,Alphabet City,Noho,Upper East Side,Upper West Side,Soho,Hudson Square,Nolita,Lower East Side,Roosevelt Island,Long Island City,Queens,Chinatown,Tribeca,Little Italy,Brooklyn,Greenpoint,Williamsburg,Astoria,Civic Center,Battery Park City,Financial District,South Street Seaport,East Harlem,Harlem,Downtown Brooklyn,Sunnyside,Brooklyn Heights,Morningside Heights,Bedford-Stuyvesant,Woodside,Cobble Hill,Bushwick,Ridgewood,Clinton Hill,Ditmars / Steinway,Carroll Gardens,Maspeth,Jackson Heights,The Bronx,Port Morris,Hamilton Heights,Mott Haven,Park Slope,Crown Heights,Concourse Village,Greenwood Heights,Washington Heights,Flatbush,Highbridge,Concourse,East Flatbush,Kensington,Glendale,Sunset Park,Forest Hills,University Heights,Kew Garden Hills,Inwood,Staten Island,Castle Hill ,Bay Ridge,Midwood,Flushing,Van Nest,Utopia,Flatlands,Grymes Hill,Marble Hill,Sheepshead Bay,Gravesend,Baychester,Riverdale,Bayside,Jamaica,The Rockaways
0,20,0.001600640256102441,0.008421052631578947,0.005141388174807198,,0.0041841004184100415,,,0.012195121951219513,,0.02857142857142857,,,0.0034129692832764505,,0.0018587360594795538,,,0.004709576138147566,0.0015600624024961,,,,0.0042643923240938165,,,,,,,,,,,,0.08333333333333333,0.0031847133757961785,,,0.003041825095057034,,,,,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,0.00040016006402561027,0.0010526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,40,0.0033346672002134187,0.005263157894736842,,,0.008368200836820083,0.0125,,,0.02702702702702703,,,,,,,,,0.004709576138147566,0.0031201248049922,,,,0.0021321961620469083,0.015384615384615385,,,,,,,,,,,,0.006369426751592357,,0.003125,0.001520912547528517,,,,0.027777777777777776,,,,,,,,,,,,,0.00425531914893617,,,,,,0.006006006006006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45,0.0002667733760170735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,50,0.0012004801920768306,0.004210526315789474,,,,,,,,,,,,0.009009009009009009,,,,0.0015698587127158557,0.0015600624024961,,,,,0.015384615384615385,,,,,,0.010101010101010102,,,,,,0.0031847133757961785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,55,0.00040016006402561027,0.0010526315789473684,,,0.0041841004184100415,0.0125,,,,,,,,,0.0018587360594795538,,,,,,,,,,,,,,,,,,,,,,,0.003125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,60,0.010404161664665866,0.018947368421052633,0.007712082262210797,0.027777777777777776,0.008368200836820083,,0.005221932114882507,0.018292682926829267,,0.02857142857142857,,,0.010238907849829351,0.018018018018018018,0.011152416356877323,0.00975609756097561,,0.01726844583987441,0.014040561622464899,0.013513513513513514,,0.038461538461538464,0.014925373134328358,0.015384615384615385,,0.02,0.007575757575757576,,,0.020202020202020204,,,,,,0.006369426751592357,,0.00625,0.00532319391634981,,,,,,,,,,,,,,,,,,,,,,,0.009009009009009009,,,,,,,,,,,0.015873015873015872,,,,,,,,,,,,,,,,,
7,65,0.001067093504068294,0.0010526315789473684,0.002570694087403599,,0.0041841004184100415,,,0.006097560975609756,,,,,,,,,,,0.0015600624024961,,,,0.0021321961620469083,,,,,,,,,,,,,,,0.003125,0.0007604562737642585,,,,,,,,,,,,,,,,,,,,,,,0.003003003003003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,70,0.007869814592503669,0.008421052631578947,0.007712082262210797,0.013888888888888888,0.016736401673640166,,0.015665796344647518,,0.02702702702702703,0.02857142857142857,,,,,0.0055762081784386614,0.004878048780487805,0.05555555555555555,0.012558869701726845,0.0046801872074883,,,,,,,,0.007575757575757576,,,,,,,,,0.0031847133757961785,,0.003125,0.006083650190114068,,,,,,,,,,,,,,,,,,,,,,,0.006006006006006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,75,0.009737228224623183,0.014736842105263158,0.012853470437017995,,,,0.010443864229765013,,0.02702702702702703,,,,,0.009009009009009009,0.0037174721189591076,0.004878048780487805,0.05555555555555555,0.0031397174254317113,0.0031201248049922,,,,0.006396588486140725,0.015384615384615385,,0.02,,,,0.010101010101010102,,,,,,,,0.015625,0.0045627376425855515,,,,,,,,,,,,,,,,,0.00425531914893617,,,,,,0.003003003003003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
